Movie,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
12 Angry Men (1957).srt,0.04063903058782783,0.0,0.0,0.484745629117027,0.0,0.20922826497492544,0.0,0.0,0.01991104903551889,0.0
2001 A Space Odyssey (1968).srt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1050546626353621,0.0,0.0
24 Hour Party People (2002).srt,0.0,0.0,0.8178327598094545,0.0,0.0,0.034617554835383695,0.032465317243139065,0.00582322741705984,0.09253239440837449,0.0
"400 Blows, The (Les quatre cents coups) (1959).srt",0.31861989164181387,0.0056564390130200105,0.0,0.0,0.0,0.0,0.013347128014132618,0.0,0.023930119951533095,0.1284550682387841
8 Mile (2002).srt,0.0,0.32896130345706753,0.37534386591830704,0.02290894060458869,0.0,0.0,0.0,0.0,0.009506270842168818,0.2523857332943377
Alien (1979).srt,0.0,0.0,0.0,0.8543767223610641,0.0,0.0,0.0,0.0,0.0,0.0
Aliens (1986).srt,0.0,0.0,0.10520873810582046,0.8109755451731517,0.03972433540951948,0.0,0.008443883804944716,0.011284640332542815,0.0,0.03869406764125339
Amadeus (1984).srt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1054876652360563,0.0
American Beauty (1999).srt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021326444891793853,0.0,1.1339610242256746
American History X (1998).srt,0.0,0.0,0.8769306703906581,0.0,0.0,0.011177500925356262,0.0,0.0,0.0,0.0018990166960482274
Anatomy of a Murder (1959).srt,0.0,0.0,0.0,0.0,0.0,0.9412549454602017,0.0,0.0,0.0,0.0
Apocalypse Now (1979).srt,0.0,0.0,0.3711710990833505,0.014417261726799881,0.42562750116386555,0.0,0.0033008214741472126,0.0,0.0,0.05075480091474954
"Avengers, The (2012).srt",0.0,0.009184087159334095,0.0,0.0,0.8412777780485664,0.0,0.010180039206842876,0.006958227605170873,0.0,0.0
Back to the Future (1985).srt,0.047384517780001446,0.677052970118536,0.0,0.0,0.031180203868233575,0.0,0.04774714133485552,0.04918693317820008,0.0,0.04176477853129616
Back to the Future Part II (1989).srt,0.0,0.7931436902582388,0.0,0.0,0.0,0.0,0.0,0.0,0.044429229900942974,0.0
Back to the Future Part III (1990).srt,0.03716536952773731,0.7812760520333,0.0,0.0,0.014635639779766231,0.021991891254513816,0.0,0.0060024961059456155,0.0,0.0
Batman Begins (2005).srt,0.12303180766033425,0.013013912016779074,0.0,0.0,0.4991335974692981,0.04970200730834308,0.0,0.0,0.0,0.0
"Beautiful Mind, A (2001).srt",0.0,0.0,0.0,0.0,0.0,0.0,1.04778890747111,0.0,0.0,0.0
Before Sunrise (1995).srt,0.3793416200452451,0.0,0.08887513866791208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Big Fish (2003).srt,0.35491553237262086,0.0,0.0,0.0,0.0,0.0,0.0,0.06016970345746586,0.10205919085837041,0.0
